rxcui,generic_name,has_label,product_type,indications_and_usage,matched_disorders
91235,Digitalis preparation,False,,,
82819,acamprosate,True,HUMAN PRESCRIPTION DRUG,"1 INDICATIONS AND USAGE Acamprosate calcium delayed-release tablets are indicated for the maintenance of abstinence from alcohol in patients with alcohol dependence who are abstinent at treatment initiation ( 1 , 14 ). Treatment with acamprosate calcium delayed-release tablets should be part of a comprehensive management program that includes psychosocial support ( 1 ). Acamprosate calcium delayed-release tablets are indicated for the maintenance of abstinence from alcohol in patients with alcohol dependence who are abstinent at treatment initiation. Treatment with acamprosate calcium delayed-release tablets should be part of a comprehensive management program that includes psychosocial support. The efficacy of acamprosate calcium delayed-release tablets in promoting abstinence has not been demonstrated in subjects who have not undergone detoxification and not achieved alcohol abstinence prior to beginning acamprosate calcium delayed-release tablets treatment. The efficacy of acamprosate calcium delayed-release tablets in promoting abstinence from alcohol in polysubstance abusers has not been adequately assessed.",
161203,aceprometazine,False,,,
162,acetanilide,False,,,
16735,acetophenazine,False,,,
272,activated charcoal,True,HUMAN OTC DRUG,​USES: ​Temporarly relieves simple nervous tension.**,
2557217,aducanumab,False,,,
70223,aldesleukin,True,HUMAN OTC DRUG,Take 15 minutes before meals,
237099,alpha tocopherol,True,HUMAN PRESCRIPTION DRUG,INDICATIONS: PNV-DHA is a multivitamin/multimineral fatty acid dietary supplement indicated for use in improving the nutritional status of women throughout pregnancy and in the postnatal period for both lactating and nonlactating mothers.,
596,alprazolam,True,HUMAN PRESCRIPTION DRUG,"1 INDICATIONS AND USAGE Alprazolam tablets are indicated for the: acute treatment of generalized anxiety disorder (GAD) in adults. treatment of panic disorder (PD), with or without agoraphobia in adults. Alprazolam is a benzodiazepine indicated for the: Acute treatment of generalized anxiety disorder in adults. ( 1 ) Treatment of panic disorder with or without agoraphobia in adults. ( 1 )",Generalized Anxiety Disorder; Panic Disorder
598,alprostadil,True,HUMAN PRESCRIPTION DRUG,"INDICATIONS AND USAGE Alprostadil injection, USP is indicated for palliative, not definitive, therapy to temporarily maintain the patency of the ductus arteriosus until corrective or palliative surgery can be performed in neonates who have congenital heart defects and who depend upon the patent ductus for survival. Such congenital heart defects include pulmonary atresia, pulmonary stenosis, tricuspid atresia, tetralogy of Fallot, interruption of the aortic arch, coarctation of the aorta, or transposition of the great vessels with or without other defects. In infants with restricted pulmonary blood flow, the increase in blood oxygenation is inversely proportional to pretreatment pO 2 values; that is, patients with low pO 2 values respond best, and patients with pO 2 values of 40 torr or more usually have little response. Alprostadil injection, USP should be administered only by trained personnel in facilities that provide pediatric intensive care.",
703,amiodarone,True,HUMAN PRESCRIPTION DRUG,"1 INDICATIONS AND USAGE Pacerone is indicated for the treatment of documented, life-threatening recurrent ventricular fibrillation and life-threatening recurrent hemodynamically unstable tachycardia in adults who have not responded to adequate doses of other available antiarrhythmics or when alternative agents cannot be tolerated. Pacerone is an antiarrhythmic indicated for: Recurrent ventricular fibrillation. ( 1 ) Recurrent hemodynamically unstable ventricular tachycardia. ( 1 )",
704,amitriptyline,True,HUMAN PRESCRIPTION DRUG,INDICATIONS AND USAGE For the relief of symptoms of depression. Endogenous depression is more likely to be alleviated than are other depressive states.,
719,amobarbital,False,,,
722,amoxapine,True,HUMAN PRESCRIPTION DRUG,INDICATIONS AND USAGE Amoxapine is indicated for the relief of symptoms of depression in patients with neurotic or reactive depressive disorders as well as endogenous and psychotic depressions. It is indicated for depression accompanied by anxiety or agitation.,
725,amphetamine,True,HUMAN PRESCRIPTION DRUG,"INDICATIONS AND USAGE Amphetamine sulfate tablets are indicated for: Narcolepsy Attention Deficit Disorder with Hyperactivity as an integral part of a total treatment program which typically includes other remedial measures (psychological, educational, social) for a stabilizing effect in children with behavioral syndrome characterized by the following group of developmentally inappropriate symptoms: moderate to severe distractibility, short attention span, hyperactivity, emotional lability, and impulsivity. The diagnosis of the syndrome should not be made with finality when these symptoms are only of comparatively recent origin. Nonlocalizing (soft) neurological signs, learning disability, and abnormal EEG may or may not be present, and a diagnosis of central nervous system dysfunction may or not be warranted. Exogenous Obesity as a short-term (a few weeks) adjunct in a regimen of weight reduction based on caloric restriction for patients refractory to alternative therapy, e.g., repeated diets, group programs, and other drugs. The limited usefulness of amphetamines ( see CLINICAL PHARMACOLOGY ) should be weighed against possible risks inherent in use of the drug, such as those described below.",ADHD
17941,anisindione,False,,,
17381,aprobarbital,False,,,
89013,aripiprazole,True,HUMAN PRESCRIPTION DRUG,1 INDICATIONS AND USAGE Aripiprazole is indicated for the treatment of: • Schizophrenia • Irritability Associated with Autistic Disorder • Treatment of Tourette’s Disorder Aripiprazole is an atypical antipsychotic. The oral formulations are indicated for: • Schizophrenia (14.1) • Irritability Associated with Autistic Disorder (14.4) • Treatment of Tourette’s disorder (14.5),Schizophrenia; Tourette's Disorder
1673265,aripiprazole lauroxil,True,HUMAN PRESCRIPTION DRUG,1 INDICATIONS AND USAGE ARISTADA is indicated for the treatment of schizophrenia in adults [see Clinical Studies ( 14 )]. ARISTADA is an atypical antipsychotic indicated for the treatment of schizophrenia in adults ( 1 ).,Schizophrenia
641465,armodafinil,True,HUMAN PRESCRIPTION DRUG,"1 INDICATIONS AND USAGE Armodafinil tablets are indicated to improve wakefulness in adult patients with excessive sleepiness associated with obstructive sleep apnea (OSA), narcolepsy, or shift work disorder (SWD). Limitations of Use In OSA, armodafinil tablets are indicated to treat excessive sleepiness and not as treatment for the underlying obstruction. If continuous positive airway pressure (CPAP) is the treatment of choice for a patient, a maximal effort to treat with CPAP for an adequate period of time should be made prior to initiating armodafinil tablets for excessive sleepiness. Armodafinil tablets are indicated to improve wakefulness in adult patients with excessive sleepiness associated with obstructive sleep apnea (OSA), narcolepsy, or shift work disorder (SWD). ( 1 ) Limitations of Use In OSA, armodafinil tablets are indicated to treat excessive sleepiness and not as treatment for the underlying obstruction.",
784649,asenapine,True,HUMAN PRESCRIPTION DRUG,"1 INDICATIONS AND USAGE Asenapine is indicated for: • Bipolar I disorder [see Clinical Studies (14.2)] • Acute monotherapy of manic or mixed episodes, in pediatric patients 10 to 17 years of age • Adjunctive treatment to lithium or valproate in adults Asenapine is an atypical antipsychotic indicated for ( 1 ): Bipolar I disorder o Acute monotherapy treatment of manic or mixed episodes, in pediatric patients 10 to 17 years of age o Adjunctive treatment to lithium or valproate in adults",Bipolar Disorder
38400,atomoxetine,True,HUMAN PRESCRIPTION DRUG,"1 INDICATIONS AND USAGE Atomoxetine capsule is a selective norepinephrine reuptake inhibitor indicated for the treatment of Attention-Deficit/Hyperactivity Disorder (ADHD). ( 1.1 ) 1.1 Attention-Deficit/Hyperactivity Disorder (ADHD) Atomoxetine capsule is indicated for the treatment of Attention-Deficit/Hyperactivity Disorder (ADHD). The efficacy of atomoxetine capsules was established in seven clinical trials in outpatients with ADHD: four 6 to 9-week trials in pediatric patients (ages 6 to 18), two 10-week trial in adults, and one maintenance trial in pediatrics (ages 6 to 15) [see Clinical Studies ( 14 )]. 1.2 Diagnostic Considerations A diagnosis of ADHD (DSM-IV) implies the presence of hyperactive-impulsive or inattentive symptoms that cause impairment and that were present before age 7 years. The symptoms must be persistent, must be more severe than is typically observed in individuals at a comparable level of development, must cause clinically significant impairment, e.g., in social, academic, or occupational functioning, and must be present in 2 or more settings, e.g., school (or work) and at home. The symptoms must not be better accounted for by another mental disorder. The specific etiology of ADHD is unknown, and there is no single diagnostic test. Adequate diagnosis requires the use not only of medical but also of special psychological, educational, and social resources. Learning may or may not be impaired. The diagnosis must be based upon a complete history and evaluation of the patient and not solely on the presence of the required number of DSM-IV characteristics. For the Inattentive Type, at least 6 of the following symptoms must have persisted for at least 6 months: lack of attention to details/careless mistakes, lack of sustained attention, poor listener, failure to follow through on tasks, poor organization, avoids tasks requiring sustained mental effort, loses things, easily distracted, forgetful. For the Hyperactive-Impulsive Type, at least 6 of the following symptoms must have persisted for at least 6 months: fidgeting/squirming, leaving seat, inappropriate running/climbing, difficulty with quiet activities, “on the go,” excessive talking, blurting answers, can’t wait turn, intrusive. For a Combined Type diagnosis, both inattentive and hyperactive-impulsive criteria must be met. 1.3 Need for Comprehensive Treatment Program Atomoxetine capsule is indicated as an integral part of a total treatment program for ADHD that may include other measures (psychological, educational, social) for patients with this syndrome. Drug treatment may not be indicated for all patients with this syndrome. Drug treatment is not intended for use in the patient who exhibits symptoms secondary to environmental factors and/or other primary psychiatric disorders, including psychosis. Appropriate educational placement is essential in children and adolescents with this diagnosis and psychosocial intervention is often helpful. When remedial measures alone are insufficient, the decision to prescribe drug treatment medication will depend upon the physician’s assessment of the chronicity and severity of the patient’s symptoms.",
